Zone,District,Fiscal Month Number,Fiscal Year,Month Name,Diversion Rate-Total (Total Recycling / Total Waste),Capture Rate-Paper (Total Paper / Max Paper),Capture Rate-MGP (Total MGP / Max MGP),Capture Rate-Total ((Total Recycling - Leaves (Recycling)) / (Max Paper + Max MGP))x100
Queens East,QE08,2,2019,August,16.5,26.8,49.6,33.5
Queens East,QE10,2,2019,August,18.3,34.4,77.5,49.7
Queens East,QE11,2,2019,August,23.8,52.0,78.3,61.4
Queens East,QE12,2,2019,August,13.3,31.2,57.2,43.7
Queens East,QE13,2,2019,August,22.7,32.1,81.3,49.6
Queens East,QE14,2,2019,August,14.1,31.1,41.8,35.4
Queens West,QW01,2,2019,August,19.7,50.3,68.2,57.4
Queens West,QW02,2,2019,August,21.3,50.0,67.1,56.8
Queens West,QW03,2,2019,August,14.0,30.4,56.3,40.7
Queens West,QW04,2,2019,August,14.8,33.9,57.0,43.1
Queens West,QW05,2,2019,August,22.8,46.0,79.7,59.4
Queens West,QW06,2,2019,August,20.3,30.1,64.8,39.5
Queens West,QW09,2,2019,August,21.2,39.6,70.7,52.0
Staten Island,SI01,2,2019,August,19.8,38.7,69.4,49.6
Staten Island,SI02,2,2019,August,17.9,42.6,67.6,51.5
Staten Island,SI03,2,2019,August,19.3,45.4,76.1,56.3
Brooklyn North,BKN01,6,2019,December,16.5,52.3,46.8,50.0
Brooklyn North,BKN02,6,2019,December,21.2,34.5,58.0,41.2
Brooklyn North,BKN03,6,2019,December,12.4,36.4,42.0,38.7
Brooklyn North,BKN04,6,2019,December,16.3,39.4,69.0,51.5
Brooklyn North,BKN05,6,2019,December,10.6,26.6,43.4,33.5
Brooklyn North,BKN08,6,2019,December,17.1,49.7,55.0,51.9
Brooklyn North,BKN09,6,2019,December,14.3,32.2,46.8,37.5
Brooklyn North,BKN16,6,2019,December,10.8,25.9,39.0,31.3
Brooklyn North,BKN17,6,2019,December,14.4,28.9,59.9,40.2
Brooklyn South,BKS06,6,2019,December,30.0,48.6,79.5,57.4
Brooklyn South,BKS07,6,2019,December,20.6,44.9,68.8,53.6
Brooklyn South,BKS10,6,2019,December,25.7,55.9,72.6,62.0
Brooklyn South,BKS11,6,2019,December,20.1,46.4,60.0,51.4
Brooklyn South,BKS12,6,2019,December,16.3,50.4,44.8,48.1
Brooklyn South,BKS13,6,2019,December,14.7,45.4,45.4,45.4
Brooklyn South,BKS14,6,2019,December,15.3,34.2,52.1,39.8
Brooklyn South,BKS15,6,2019,December,20.4,49.4,59.9,53.2
Brooklyn South,BKS18,6,2019,December,16.4,33.3,62.2,42.5
Bronx,BX01,6,2019,December,7.0,20.4,23.4,21.7
Bronx,BX02,6,2019,December,13.9,38.0,52.9,44.7
Bronx,BX03,6,2019,December,8.7,25.7,30.7,28.0
Bronx,BX04,6,2019,December,12.0,32.1,44.5,37.7
Bronx,BX05,6,2019,December,11.3,29.6,44.3,36.2
Bronx,BX06,6,2019,December,13.2,33.8,41.3,37.2
Bronx,BX07,6,2019,December,15.2,38.3,62.1,49.0
Bronx,BX08,6,2019,December,21.4,38.6,74.3,49.7
Bronx,BX09,6,2019,December,10.6,25.8,44.8,33.6
Bronx,BX10,6,2019,December,22.2,41.7,81.0,56.0
Bronx,BX11,6,2019,December,17.4,35.9,55.6,43.1
Bronx,BX12,6,2019,December,21.0,34.8,73.1,48.7
Manhattan,MN01,6,2019,December,29.5,50.2,69.6,55.2
Manhattan,MN02,6,2019,December,28.5,43.8,79.2,52.9
Manhattan,MN03,6,2019,December,14.8,44.6,40.8,42.9
Manhattan,MN04,6,2019,December,24.8,36.7,71.8,45.7
Manhattan,MN05,6,2019,December,21.4,34.9,58.4,40.9
Manhattan,MN06,6,2019,December,25.2,38.9,70.6,47.1
Manhattan,MN07,6,2019,December,28.7,45.0,76.4,53.0
Manhattan,MN08,6,2019,December,28.4,47.0,74.1,54.0
Manhattan,MN09,6,2019,December,19.1,58.7,49.3,54.5
Manhattan,MN10,6,2019,December,14.8,42.6,51.9,46.8
Manhattan,MN11,6,2019,December,11.6,42.2,28.8,36.2
Manhattan,MN12,6,2019,December,16.9,48.1,55.4,51.4
Queens East,QE07,6,2019,December,21.6,50.0,62.9,54.7
Queens East,QE08,6,2019,December,17.9,28.5,50.7,34.8
Queens East,QE10,6,2019,December,20.4,36.8,76.7,49.5
Queens East,QE11,6,2019,December,26.1,49.2,73.6,57.0
Queens East,QE12,6,2019,December,17.0,32.2,64.5,45.7
Queens East,QE13,6,2019,December,22.4,31.0,82.5,47.4
Queens East,QE14,6,2019,December,14.5,33.9,41.1,36.5
Queens West,QW01,6,2019,December,21.1,49.3,70.3,57.0
Queens West,QW02,6,2019,December,21.7,49.0,67.3,55.6
Queens West,QW03,6,2019,December,15.5,32.4,61.4,43.0
Queens West,QW04,6,2019,December,16.1,35.6,60.2,44.5
Queens West,QW05,6,2019,December,24.7,49.5,82.1,61.4
Queens West,QW06,6,2019,December,23.5,32.0,66.4,40.9
Queens West,QW09,6,2019,December,23.8,41.9,73.1,53.2
Staten Island,SI01,6,2019,December,22.2,39.5,70.3,49.3
Staten Island,SI02,6,2019,December,20.7,43.4,68.2,51.3
Staten Island,SI03,6,2019,December,22.3,48.7,72.8,56.4
Brooklyn North,BKN01,8,2019,February,15.9,48.3,48.2,48.2
Brooklyn North,BKN02,8,2019,February,20.6,33.1,60.2,40.8
Brooklyn North,BKN03,8,2019,February,13.0,35.6,45.6,39.7
Brooklyn North,BKN04,8,2019,February,15.8,37.6,67.9,50.0
Brooklyn North,BKN05,8,2019,February,10.6,24.6,46.1,33.4
Brooklyn North,BKN08,8,2019,February,17.0,47.0,60.6,52.6
Brooklyn North,BKN09,8,2019,February,14.0,31.8,45.1,36.6
Brooklyn North,BKN16,8,2019,February,9.7,21.5,38.3,28.4
Brooklyn North,BKN17,8,2019,February,14.2,27.5,60.8,39.6
Brooklyn South,BKS06,8,2019,February,29.2,44.2,85.5,55.9
Brooklyn South,BKS07,8,2019,February,20.2,41.6,70.5,52.1
Brooklyn South,BKS10,8,2019,February,24.3,48.3,77.5,58.9
Brooklyn South,BKS11,8,2019,February,18.9,42.2,62.9,49.8
Brooklyn South,BKS12,8,2019,February,15.5,48.8,45.0,47.2
Brooklyn South,BKS13,8,2019,February,14.4,40.4,49.0,44.3
Brooklyn South,BKS14,8,2019,February,15.3,32.2,56.6,39.8
Brooklyn South,BKS15,8,2019,February,19.2,44.5,61.8,50.8
Brooklyn South,BKS18,8,2019,February,15.7,29.8,63.2,40.5
Bronx,BX01,8,2019,February,7.0,19.2,25.8,22.1
Bronx,BX02,8,2019,February,13.1,34.0,51.9,42.1
Bronx,BX03,8,2019,February,9.0,23.7,35.3,28.9
Bronx,BX04,8,2019,February,11.9,28.2,48.4,37.3
Bronx,BX05,8,2019,February,10.8,25.3,46.6,34.9
Bronx,BX06,8,2019,February,14.4,36.3,49.5,42.2
Bronx,BX07,8,2019,February,14.2,32.9,61.1,45.6
Bronx,BX08,8,2019,February,20.3,36.0,81.6,50.2
Bronx,BX09,8,2019,February,9.9,22.3,44.3,31.3
Bronx,BX10,8,2019,February,20.3,37.1,82.2,53.5
Bronx,BX11,8,2019,February,16.1,32.8,57.0,41.6
Bronx,BX12,8,2019,February,19.1,31.0,75.2,47.1
Manhattan,MN01,8,2019,February,27.5,44.9,69.2,51.2
Manhattan,MN02,8,2019,February,27.4,39.6,82.4,50.7
Manhattan,MN03,8,2019,February,14.8,41.6,43.4,42.4
Manhattan,MN04,8,2019,February,23.9,33.8,73.8,44.1
Manhattan,MN05,8,2019,February,21.7,34.0,63.2,41.5
Manhattan,MN06,8,2019,February,23.7,34.5,72.0,44.1
Manhattan,MN07,8,2019,February,27.4,41.1,77.5,50.5
Manhattan,MN08,8,2019,February,26.7,41.3,77.6,50.6
Manhattan,MN09,8,2019,February,18.4,54.8,49.9,52.6
Manhattan,MN10,8,2019,February,14.5,38.8,54.6,45.9
Manhattan,MN11,8,2019,February,11.4,38.3,31.5,35.3
Manhattan,MN12,8,2019,February,16.5,43.5,58.3,50.1
Queens East,QE07,8,2019,February,20.4,45.7,66.7,53.4
Queens East,QE08,8,2019,February,17.5,28.8,54.1,35.9
Queens East,QE10,8,2019,February,19.7,33.0,81.4,48.5
Queens East,QE11,8,2019,February,24.8,48.7,83.6,59.8
Queens East,QE12,8,2019,February,14.7,31.8,69.3,47.5
Queens East,QE13,8,2019,February,21.2,30.6,89.2,49.3
Queens East,QE14,8,2019,February,13.2,30.1,40.5,33.9
Queens West,QW01,8,2019,February,20.2,46.1,74.6,56.5
Queens West,QW02,8,2019,February,21.7,46.6,72.6,56.1
Queens West,QW03,8,2019,February,14.8,29.6,62.3,41.5
Queens West,QW04,8,2019,February,15.3,31.7,62.2,42.8
Queens West,QW05,8,2019,February,24.3,45.1,85.8,59.9
Queens West,QW06,8,2019,February,21.2,29.8,71.5,40.5
Queens West,QW09,8,2019,February,22.1,39.3,75.8,52.6
Staten Island,SI01,8,2019,February,19.6,36.1,76.1,48.9
Staten Island,SI02,8,2019,February,20.6,40.7,73.7,51.2
Staten Island,SI03,8,2019,February,21.6,43.0,81.1,55.2
Brooklyn North,BKN01,7,2019,January,17.1,49.9,52.0,50.7
Brooklyn North,BKN02,7,2019,January,22.5,34.0,63.8,42.5
Brooklyn North,BKN03,7,2019,January,13.9,38.6,49.2,42.9
Brooklyn North,BKN04,7,2019,January,17.1,38.9,73.8,53.2
Brooklyn North,BKN05,7,2019,January,11.7,27.0,50.7,36.7
Brooklyn North,BKN08,7,2019,January,19.8,51.6,66.9,57.9
Brooklyn North,BKN09,7,2019,January,14.9,32.7,46.9,37.9
Brooklyn North,BKN16,7,2019,January,10.1,22.7,38.0,29.0
Brooklyn North,BKN17,7,2019,January,15.7,29.7,67.8,43.6
Brooklyn South,BKS06,7,2019,January,31.1,46.0,86.1,57.4
Brooklyn South,BKS07,7,2019,January,22.2,46.5,74.8,56.8
Brooklyn South,BKS10,7,2019,January,26.9,53.2,80.9,63.3
Brooklyn South,BKS11,7,2019,January,20.9,47.2,68.3,54.9
Brooklyn South,BKS12,7,2019,January,16.1,49.8,47.5,48.9
Brooklyn South,BKS13,7,2019,January,15.8,44.9,52.4,48.2
Brooklyn South,BKS14,7,2019,January,16.4,34.6,58.8,42.2
Brooklyn South,BKS15,7,2019,January,20.5,46.7,66.3,53.8
Brooklyn South,BKS18,7,2019,January,17.1,32.1,68.3,43.7
Bronx,BX01,7,2019,January,8.5,24.2,29.8,26.7
Bronx,BX02,7,2019,January,13.6,32.5,55.5,42.8
Bronx,BX03,7,2019,January,11.1,28.7,40.3,33.9
Bronx,BX04,7,2019,January,13.7,32.8,54.1,42.4
Bronx,BX05,7,2019,January,12.6,29.1,51.7,39.3
Bronx,BX06,7,2019,January,16.3,40.9,54.3,46.9
Bronx,BX07,7,2019,January,16.1,37.8,68.1,51.4
Bronx,BX08,7,2019,January,23.7,41.9,89.1,56.7
Bronx,BX09,7,2019,January,11.4,24.0,47.8,33.7
Bronx,BX10,7,2019,January,22.0,39.6,87.4,57.0
Bronx,BX11,7,2019,January,18.8,34.7,60.2,44.0
Bronx,BX12,7,2019,January,21.2,34.3,81.7,51.5
Manhattan,MN01,7,2019,January,29.1,45.6,70.3,52.0
Manhattan,MN02,7,2019,January,29.8,42.0,85.8,53.3
Manhattan,MN03,7,2019,January,15.3,42.9,42.8,42.9
Manhattan,MN04,7,2019,January,24.5,34.2,72.8,44.2
Manhattan,MN05,7,2019,January,24.1,36.3,68.2,44.5
Manhattan,MN06,7,2019,January,24.5,34.5,72.0,44.2
Manhattan,MN07,7,2019,January,29.0,41.3,80.9,51.5
Manhattan,MN08,7,2019,January,28.3,41.1,78.4,50.7
Manhattan,MN09,7,2019,January,19.3,56.0,50.8,53.6
Manhattan,MN10,7,2019,January,15.9,42.7,56.7,49.0
Manhattan,MN11,7,2019,January,12.3,40.0,33.2,36.9
Manhattan,MN12,7,2019,January,18.2,47.3,62.8,54.3
Queens East,QE07,7,2019,January,22.3,48.9,69.0,56.2
Queens East,QE08,7,2019,January,18.5,28.8,56.7,36.7
Queens East,QE10,7,2019,January,21.4,34.7,87.7,51.6
Queens East,QE11,7,2019,January,27.9,52.4,87.7,63.7
Queens East,QE12,7,2019,January,15.5,32.4,73.5,49.6
Queens East,QE13,7,2019,January,23.5,30.9,93.8,51.0
Queens East,QE14,7,2019,January,14.4,30.3,43.6,35.1
Queens West,QW01,7,2019,January,21.9,48.8,81.0,60.5
Queens West,QW02,7,2019,January,23.8,50.6,79.9,61.3
Queens West,QW03,7,2019,January,16.1,30.4,67.3,43.8
Queens West,QW04,7,2019,January,16.4,33.6,67.0,45.7
Queens West,QW05,7,2019,January,26.1,47.7,92.7,64.1
Queens West,QW06,7,2019,January,23.1,31.3,75.0,42.6
Queens West,QW09,7,2019,January,24.6,41.6,81.2,56.0
Staten Island,SI01,7,2019,January,21.8,39.7,79.8,52.5
Staten Island,SI02,7,2019,January,22.6,44.2,76.8,54.6
Staten Island,SI03,7,2019,January,23.4,46.4,82.4,57.9
Brooklyn North,BKN01,1,2019,July,16.8,49.8,47.2,48.6
Brooklyn North,BKN02,1,2019,July,19.3,31.9,56.5,39.1
Brooklyn North,BKN03,1,2019,July,12.3,34.1,42.0,37.7
Brooklyn North,BKN04,1,2019,July,15.5,36.2,60.5,47.3
Brooklyn North,BKN05,1,2019,July,10.0,24.2,38.2,30.6
Brooklyn North,BKN08,1,2019,July,15.6,44.7,51.1,47.6
Brooklyn North,BKN09,1,2019,July,12.7,32.2,44.1,36.9
Brooklyn North,BKN16,1,2019,July,9.4,21.4,31.5,26.0
Brooklyn North,BKN17,1,2019,July,13.3,27.4,55.7,38.6
Brooklyn South,BKS06,1,2019,July,27.1,43.2,77.3,53.2
Brooklyn South,BKS07,1,2019,July,19.9,45.5,64.1,52.9
Brooklyn South,BKS10,1,2019,July,23.3,55.2,72.4,62.1
Brooklyn South,BKS11,1,2019,July,18.7,45.7,57.0,50.2
Brooklyn South,BKS12,1,2019,July,15.5,47.9,40.4,44.5
Brooklyn South,BKS13,1,2019,July,14.5,38.4,50.7,43.7
Brooklyn South,BKS14,1,2019,July,14.2,33.2,51.4,39.1
Brooklyn South,BKS15,1,2019,July,19.0,46.9,56.7,50.8
Brooklyn South,BKS18,1,2019,July,14.5,31.7,61.6,42.3
Bronx,BX01,1,2019,July,6.9,17.9,26.8,21.7
Bronx,BX02,1,2019,July,13.3,30.4,58.6,42.5
Bronx,BX03,1,2019,July,9.1,23.2,36.9,29.1
Bronx,BX04,1,2019,July,11.6,27.2,48.9,36.5
Bronx,BX05,1,2019,July,11.3,25.4,50.0,36.0
Bronx,BX06,1,2019,July,11.8,31.8,44.1,37.1
Bronx,BX07,1,2019,July,14.5,32.9,64.3,46.4
Bronx,BX08,1,2019,July,20.9,39.8,82.3,53.6
Bronx,BX09,1,2019,July,9.9,23.0,39.2,30.4
Bronx,BX10,1,2019,July,20.9,38.6,75.5,53.3
Bronx,BX11,1,2019,July,16.7,34.2,53.8,42.0
Bronx,BX12,1,2019,July,21.1,34.2,72.2,49.3
Manhattan,MN01,1,2019,July,26.1,44.4,63.6,49.6
Manhattan,MN02,1,2019,July,24.6,39.3,71.2,47.9
Manhattan,MN03,1,2019,July,13.4,39.4,42.4,40.7
Manhattan,MN04,1,2019,July,22.6,33.9,67.7,43.0
Manhattan,MN05,1,2019,July,20.0,32.1,57.1,38.9
Manhattan,MN06,1,2019,July,22.7,35.0,64.6,43.0
Manhattan,MN07,1,2019,July,26.2,42.5,70.8,50.1
Manhattan,MN08,1,2019,July,25.8,42.6,68.9,49.7
Manhattan,MN09,1,2019,July,16.7,54.1,49.6,52.2
Manhattan,MN10,1,2019,July,14.2,36.5,55.7,44.7
Manhattan,MN11,1,2019,July,10.9,38.1,30.8,35.0
Manhattan,MN12,1,2019,July,15.5,42.1,55.7,48.0
Queens East,QE07,1,2019,July,20.0,47.1,58.5,51.7
Queens East,QE08,1,2019,July,16.7,27.1,49.8,33.8
Queens East,QE10,1,2019,July,19.2,35.8,81.0,51.8
Queens East,QE11,1,2019,July,24.7,52.9,78.9,62.1
Queens East,QE12,1,2019,July,13.7,32.8,58.2,45.0
Queens East,QE13,1,2019,July,22.5,33.0,84.3,51.2
Queens East,QE14,1,2019,July,14.3,31.5,44.1,36.6
Queens West,QW01,1,2019,July,19.4,48.9,68.4,56.7
Queens West,QW02,1,2019,July,21.4,50.3,67.0,56.9
Queens West,QW03,1,2019,July,14.1,31.6,55.1,41.0
Queens West,QW04,1,2019,July,15.1,35.4,56.9,43.9
Queens West,QW05,1,2019,July,22.9,46.5,80.7,60.1
Queens West,QW06,1,2019,July,20.7,30.5,66.2,40.1
Queens West,QW09,1,2019,July,21.2,40.0,70.3,52.0
Staten Island,SI01,1,2019,July,19.8,39.8,71.9,51.2
Staten Island,SI02,1,2019,July,18.7,42.9,73.3,53.7
Staten Island,SI03,1,2019,July,19.8,45.3,80.1,57.6
Brooklyn North,BKN01,12,2019,June,16.1,48.5,47.7,48.2
Brooklyn North,BKN02,12,2019,June,20.5,37.2,57.7,43.2
Brooklyn North,BKN03,12,2019,June,12.6,35.2,46.0,39.6
Brooklyn North,BKN04,12,2019,June,16.4,39.9,68.0,51.4
Brooklyn North,BKN05,12,2019,June,11.0,25.0,48.1,34.4
Brooklyn North,BKN08,12,2019,June,17.2,48.6,59.7,53.1
Brooklyn North,BKN09,12,2019,June,13.8,34.5,45.8,38.8
Brooklyn North,BKN16,12,2019,June,9.9,22.2,36.6,28.1
Brooklyn North,BKN17,12,2019,June,14.0,30.1,63.1,42.6
Brooklyn South,BKS06,12,2019,June,29.4,47.9,82.4,58.1
Brooklyn South,BKS07,12,2019,June,21.1,50.0,73.1,58.7
Brooklyn South,BKS10,12,2019,June,24.9,54.5,78.3,63.5
Brooklyn South,BKS11,12,2019,June,19.0,48.0,65.0,54.5
Brooklyn South,BKS12,12,2019,June,15.3,46.0,44.8,45.5
Brooklyn South,BKS13,12,2019,June,14.9,42.8,51.9,46.8
Brooklyn South,BKS14,12,2019,June,15.8,39.4,62.8,47.5
Brooklyn South,BKS15,12,2019,June,19.3,48.5,62.9,54.0
Brooklyn South,BKS18,12,2019,June,15.1,39.0,74.4,51.6
Bronx,BX01,12,2019,June,7.8,23.1,28.3,25.4
Bronx,BX02,12,2019,June,14.2,40.6,56.7,47.6
Bronx,BX03,12,2019,June,10.3,28.2,42.9,34.6
Bronx,BX04,12,2019,June,13.2,33.3,56.3,43.3
Bronx,BX05,12,2019,June,12.0,30.3,53.2,40.3
Bronx,BX06,12,2019,June,15.0,39.5,52.2,45.0
Bronx,BX07,12,2019,June,15.4,37.3,70.3,51.7
Bronx,BX08,12,2019,June,22.0,48.7,84.9,61.1
Bronx,BX09,12,2019,June,10.9,25.0,47.2,34.0
Bronx,BX10,12,2019,June,21.2,38.5,85.8,56.5
Bronx,BX11,12,2019,June,17.2,35.1,62.1,45.4
Bronx,BX12,12,2019,June,21.8,34.9,83.7,53.4
Manhattan,MN01,12,2019,June,28.7,48.1,77.1,55.1
Manhattan,MN02,12,2019,June,28.3,43.3,89.2,54.3
Manhattan,MN03,12,2019,June,14.6,45.4,42.7,44.2
Manhattan,MN04,12,2019,June,23.8,35.4,75.9,45.1
Manhattan,MN05,12,2019,June,21.0,35.2,62.2,41.7
Manhattan,MN06,12,2019,June,23.6,35.8,73.7,45.0
Manhattan,MN07,12,2019,June,28.0,43.6,84.6,53.5
Manhattan,MN08,12,2019,June,26.9,43.8,81.7,53.0
Manhattan,MN09,12,2019,June,18.7,59.0,52.4,56.1
Manhattan,MN10,12,2019,June,14.9,42.2,58.2,49.2
Manhattan,MN11,12,2019,June,11.8,42.3,32.9,38.2
Manhattan,MN12,12,2019,June,16.4,46.0,59.0,51.7
Queens East,QE07,12,2019,June,20.2,48.6,68.2,56.0
Queens East,QE08,12,2019,June,16.9,29.3,53.6,36.5
Queens East,QE10,12,2019,June,19.2,42.1,97.6,61.9
Queens East,QE11,12,2019,June,23.8,61.6,92.7,72.7
Queens East,QE12,12,2019,June,14.1,35.1,70.6,51.4
Queens East,QE13,12,2019,June,21.5,38.1,100.3,60.2
Queens East,QE14,12,2019,June,14.6,34.6,47.2,39.4
Queens West,QW01,12,2019,June,20.6,53.2,78.3,62.7
Queens West,QW02,12,2019,June,21.7,53.0,71.0,59.8
Queens West,QW03,12,2019,June,14.4,32.4,62.5,43.8
Queens West,QW04,12,2019,June,15.4,36.3,64.6,47.0
Queens West,QW05,12,2019,June,23.8,47.8,85.1,62.0
Queens West,QW06,12,2019,June,20.3,29.7,73.8,40.3
